"","k__Bacteria","p__Actinobacteria","p__Bacteroidetes","p__Cyanobacteria","p__Firmicutes","p__Fusobacteria","p__OD1","p__Proteobacteria","p__Spirochaetes","p__SR1","p__TM7","c__Actinobacteria","c__Alphaproteobacteria","c__Bacilli","c__Bacteroidia","c__Betaproteobacteria","c__Chloroplast","c__Clostridia","c__Coriobacteriia","c__Cytophagia","c__Deltaproteobacteria","c__Epsilonproteobacteria","c__Erysipelotrichi","c__Flavobacteriia","c__Fusobacteriia","c__Gammaproteobacteria","c__Sphingobacteriia","c__Spirochaetes","c__TM7-3","o__Actinomycetales","o__Aeromonadales","o__Bacillales","o__Bacteroidales","o__Burkholderiales","o__Campylobacterales","o__Clostridiales","o__Coriobacteriales","o__CW040","o__Cytophagales","o__Enterobacteriales","o__Erysipelotrichales","o__Flavobacteriales","o__Fusobacteriales","o__Gemellales","o__Lactobacillales","o__Neisseriales","o__Pasteurellales","o__Pseudomonadales","o__Rhizobiales","o__Rhodobacterales","o__Rhodocyclales","o__Sphingobacteriales","o__Sphingomonadales","o__Spirochaetales","o__Streptophyta","o__Xanthomonadales","f__[Mogibacteriaceae]","f__[Paraprevotellaceae]","f__[Tissierellaceae]","f__[Weeksellaceae]","f__ACK-M1","f__Actinomycetaceae","f__Aerococcaceae","f__Aeromonadaceae","f__Alcaligenaceae","f__Bacteroidaceae","f__Burkholderiaceae","f__Campylobacteraceae","f__Carnobacteriaceae","f__Clostridiaceae","f__Comamonadaceae","f__Coriobacteriaceae","f__Corynebacteriaceae","f__Cryomorphaceae","f__Cytophagaceae","f__Enterobacteriaceae","f__Enterococcaceae","f__Erysipelotrichaceae","f__F16","f__Flavobacteriaceae","f__Fusobacteriaceae","f__Gemellaceae","f__Lachnospiraceae","f__Lactobacillaceae","f__Leptotrichiaceae","f__Leuconostocaceae","f__Microbacteriaceae","f__Micrococcaceae","f__Moraxellaceae","f__Neisseriaceae","f__Oxalobacteraceae","f__Pasteurellaceae","f__Peptostreptococcaceae","f__Porphyromonadaceae","f__Prevotellaceae","f__Propionibacteriaceae","f__Pseudomonadaceae","f__Rhizobiaceae","f__Rhodobacteraceae","f__Rhodocyclaceae","f__Rikenellaceae","f__Ruminococcaceae","f__Sphingomonadaceae","f__Spirochaetaceae","f__Streptococcaceae","f__Veillonellaceae","f__Xanthomonadaceae","g__[Eubacterium]","g__[Prevotella]","g__[Ruminococcus]","g__Acinetobacter","g__Actinomyces","g__Agrobacterium","g__Anaerococcus","g__Arcobacter","g__Atopobium","g__Bacteroides","g__Blautia","g__Bulleidia","g__Campylobacter","g__Capnocytophaga","g__Catonella","g__Chryseobacterium","g__Clostridium","g__Comamonas","g__Coprococcus","g__Corynebacterium","g__Dialister","g__Enhydrobacter","g__Enterococcus","g__Faecalibacterium","g__Flavobacterium","g__Fluviicola","g__Fusobacterium","g__Granulicatella","g__Haemophilus","g__Lachnospira","g__Lactobacillus","g__Lactococcus","g__Lautropia","g__Leptotrichia","g__Leuconostoc","g__Megasphaera","g__Microvirgula","g__Mogibacterium","g__Moryella","g__Neisseria","g__Oribacterium","g__Oscillospira","g__Parabacteroides","g__Parvimonas","g__Peptoniphilus","g__Peptostreptococcus","g__Porphyromonas","g__Prevotella","g__Propionibacterium","g__Pseudomonas","g__Rothia","g__Salinispora","g__Selenomonas","g__Streptococcus","g__Sulfurospirillum","g__Sutterella","g__Tannerella","g__Treponema","g__Veillonella","g__Vitreoscilla","g__Weissella","g__Zoogloea","s__acnes","s__aerodenitrificans","s__cibaria","s__confusa","s__copri","s__dentocariosa","s__dispar","s__endodontalis","s__fallax","s__johnsonii","s__luteciae","s__melaninogenica","s__moorei","s__mucilaginosa","s__nanceiensis","s__nigrescens","s__parainfluenzae","s__parvula","s__prausnitzii","s__rhizosphaerae","s__subflava","s__tannerae","s__uniformis","s__zeae","p__Tenericutes","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Actinobacillus","g__Aggregatibacter","g__Butyrivibrio","g__Eikenella","g__Mycoplasma","f__Peptococcaceae","f__Bacillaceae","g__Finegoldia","s__dolichum","s__gnavus","g__Filifactor","s__socranskii","p__GN02","c__GKS2-174","o__MIZ46","s__fragilis","smokingstatus","bodysite"
"ESC.1.46.NPL",927,16,32,3,828,0,1,46,0,0,0,16,4,811,5,11,3,17,0,3,0,2,0,20,0,29,4,0,0,16,0,1,5,5,2,17,0,0,3,14,0,20,0,0,810,3,0,15,0,3,1,4,0,0,3,0,0,0,1,12,1,2,0,0,0,0,1,2,0,1,4,0,6,2,2,14,2,0,0,6,0,0,1,3,0,529,0,0,11,3,0,0,0,2,3,7,0,0,3,1,0,0,0,0,276,14,0,0,0,0,9,2,0,0,1,0,0,0,0,0,0,0,12,1,0,0,6,0,2,0,0,6,2,0,0,0,0,3,224,0,0,510,0,0,0,0,0,0,0,0,0,1,0,0,3,6,0,0,1,0,51,1,0,0,0,14,3,0,0,6,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NonSmoker","NPL"
"ESC.1.6.NPL",435,8,6,0,378,0,0,43,0,0,0,8,7,366,0,22,0,12,0,0,0,2,0,6,0,12,0,0,0,8,0,3,0,12,2,12,0,0,0,5,0,6,0,0,363,3,0,7,6,1,1,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,2,0,1,8,0,4,0,0,5,4,0,0,0,0,0,0,1,0,202,0,0,6,3,1,0,0,0,0,1,0,5,1,1,0,0,0,0,152,11,0,0,0,0,6,2,5,0,1,0,0,0,0,0,0,0,6,0,3,0,4,0,0,0,0,0,0,0,0,0,0,1,138,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,11,2,5,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Smoker","NPL"
"ESC.1.64.NPL",2662,45,68,8,2330,0,2,208,0,0,1,32,8,1856,31,36,8,436,13,0,0,5,38,36,0,159,1,0,1,32,4,5,31,13,5,436,13,0,0,116,38,36,0,2,1848,6,2,36,3,4,2,1,1,0,8,0,0,0,1,32,0,3,9,4,0,23,0,5,0,3,9,13,25,2,0,116,8,38,0,2,0,2,185,20,0,942,1,0,23,6,1,2,0,0,8,2,0,3,4,2,0,155,1,0,869,42,0,30,0,11,22,3,3,1,1,3,23,32,0,1,0,0,30,0,3,42,25,0,1,2,1,2,2,0,0,2,1,20,701,0,0,886,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,159,3,0,0,0,42,4,0,1,1,0,0,0,2,0,3,0,2,1,10,2,0,0,0,0,2,0,1,15,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,26,2,0,0,0,0,0,2,"Smoker","NPL"
"ESC.1.55.NPL",1019,11,32,227,688,0,1,60,0,0,0,8,2,538,8,9,227,141,3,6,0,0,9,18,0,49,0,0,0,8,0,5,8,6,0,139,3,0,6,30,9,18,0,0,533,0,4,12,2,0,2,0,0,0,227,1,0,0,12,4,0,1,1,0,0,4,2,0,0,4,4,3,2,0,6,30,0,9,0,14,0,0,69,3,0,310,2,0,6,0,0,4,2,1,0,2,0,0,0,2,0,34,0,0,219,7,1,9,0,2,5,1,0,2,0,0,4,14,0,0,0,0,4,1,0,14,2,0,1,0,0,14,0,0,0,4,0,3,186,0,0,299,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,2,0,31,0,0,0,0,7,0,0,1,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,"Smoker","NPL"
"ESC.1.69.NPL",790,34,26,5,662,0,0,61,0,0,1,34,1,617,12,18,5,42,0,0,0,4,3,14,0,38,0,0,0,34,3,4,12,6,4,42,0,0,0,13,3,14,0,0,613,6,0,22,1,0,1,0,0,0,5,0,0,0,4,14,0,2,1,3,0,6,1,4,0,1,2,0,14,0,0,13,4,3,0,0,0,0,7,4,0,301,0,1,13,6,1,0,0,1,4,17,2,0,0,1,1,6,0,0,302,23,0,1,0,1,9,1,0,1,2,0,6,1,0,0,0,0,13,0,1,1,14,0,4,0,0,0,0,0,0,0,0,4,260,0,0,271,0,1,0,0,0,0,0,1,0,2,0,0,4,16,2,0,0,0,41,1,0,0,0,23,4,0,0,14,1,0,0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,"Smoker","NPL"
"ESC.1.53.NPL",1442,34,87,1,1252,0,1,66,0,0,0,33,7,1052,55,16,1,176,1,5,0,1,24,26,0,42,0,0,0,33,0,2,55,11,1,176,1,0,5,17,24,26,0,3,1047,1,2,23,2,0,1,0,1,0,1,0,1,5,2,17,2,8,6,0,1,37,0,1,1,0,9,1,1,1,4,17,1,24,0,8,0,3,71,6,0,571,6,2,22,1,1,2,0,2,7,13,0,1,0,1,3,50,1,0,460,26,0,21,5,0,19,8,1,0,1,0,37,11,0,0,0,1,17,0,2,19,1,0,2,0,2,8,1,0,1,2,0,6,370,0,0,536,0,0,0,0,0,0,1,1,0,2,0,1,7,13,0,2,0,0,88,0,1,0,0,26,0,0,0,13,0,0,0,3,2,2,0,2,1,1,0,0,0,0,0,2,1,2,16,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0,4,"Smoker","NPL"
"ESC.1.21.NPL",1189,307,38,1,713,0,0,129,0,0,0,307,4,695,4,44,1,18,0,0,0,9,0,34,0,72,0,0,0,307,0,9,4,25,9,18,0,0,0,25,0,34,0,2,683,7,2,45,1,3,2,0,0,0,1,0,0,0,0,32,0,3,0,0,0,2,0,9,0,1,24,0,277,0,0,25,13,0,0,2,0,2,1,2,0,415,0,0,34,7,0,2,0,1,1,26,1,1,3,2,0,1,0,0,249,15,0,0,0,0,34,3,1,0,7,0,2,0,0,0,0,0,31,0,5,0,277,0,0,2,0,2,0,0,0,2,0,2,213,0,0,142,0,1,0,0,2,0,0,1,0,0,0,0,1,26,1,0,0,0,35,2,0,0,0,14,3,4,1,24,1,0,3,1,0,1,0,1,3,3,0,0,0,0,0,2,1,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"NonSmoker","NPL"
"ESC.1.47.NPL",1091,42,48,8,929,2,1,58,0,0,2,40,5,897,31,22,8,32,2,0,0,0,0,17,2,31,0,0,2,40,1,23,31,9,0,32,2,0,0,18,0,17,2,0,874,4,0,12,3,0,2,0,0,0,8,0,0,1,2,15,0,5,0,1,3,15,0,0,0,1,5,2,7,0,0,18,2,0,0,2,0,0,7,7,2,526,1,4,10,4,0,0,0,2,11,22,1,2,0,2,0,6,0,0,338,15,0,0,1,0,9,5,2,1,0,2,15,1,0,0,0,0,15,0,1,1,7,0,1,1,1,2,0,0,0,0,1,7,281,0,2,509,0,1,0,0,0,0,0,2,0,1,0,0,11,21,1,2,0,0,57,0,3,0,0,14,1,0,1,21,1,0,0,0,0,1,0,1,0,0,7,0,2,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"NonSmoker","NPL"
"ESC.1.57.NPL",842,53,132,1,605,0,0,51,0,0,0,47,1,328,110,12,0,253,6,5,0,3,24,16,0,35,1,0,0,47,0,26,110,8,3,253,6,0,5,8,24,16,0,7,295,0,21,6,1,0,1,1,0,0,0,0,1,0,7,3,3,1,8,0,0,89,5,3,0,1,3,6,36,2,4,8,2,24,0,11,0,7,110,45,0,126,4,1,4,0,0,20,0,9,8,0,0,1,0,1,1,100,0,0,111,6,0,21,0,9,3,1,1,3,0,0,89,13,0,3,0,0,3,0,0,31,36,2,1,1,0,11,2,0,0,20,1,45,89,0,0,118,0,0,0,0,0,0,0,9,1,1,0,0,8,0,0,0,5,0,22,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,2,0,0,6,42,0,0,0,0,0,0,0,0,0,0,2,2,21,7,0,0,0,0,0,29,"Smoker","NPL"
"ESC.1.22.NPL",1281,18,462,0,239,311,0,206,4,7,31,17,0,104,401,139,0,132,1,0,0,48,3,61,311,19,0,4,31,17,0,0,401,0,48,132,1,6,0,0,3,61,311,5,99,139,19,0,0,0,0,0,0,4,0,0,2,117,4,2,0,14,0,0,0,0,0,48,3,0,0,1,0,0,0,0,0,3,6,59,215,5,46,0,96,9,0,3,0,139,0,19,5,28,251,0,0,0,0,0,0,0,0,4,87,46,0,0,117,0,0,14,0,0,1,1,0,0,3,47,59,0,1,0,0,0,0,5,0,0,0,0,0,215,3,19,0,0,1,0,56,6,0,0,2,9,29,9,0,0,4,0,3,26,251,0,0,3,0,8,86,0,0,0,4,31,0,0,0,0,0,0,0,0,0,23,6,0,0,0,126,0,3,0,0,14,2,0,0,22,95,0,0,3,3,3,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,"Smoker","NPL"
