"","SampleID","BodySite","PersonalID","WeeksSinceStart"
"3059","G10000","gut","NCS203","0"
"1605","G10002","gut","NAU106","1"
"3542","G10007","gut","NCS253","0"
"3406","G10012","gut","NCS237","1"
"3178","G10014","gut","NCS212","1"
"3097","G10018","gut","NCS204","0"
"3177","G10021","gut","NCS212","0"
"3214","G10026","gut","NCS213","1"
"3215","G10082","gut","NCS204","1"
"408","G10100","gut","CUB011","7"
"1280","G10101","gut","CUB052","7"
"715","G10102","gut","CUB028","7"
"716","G10103","gut","CUB028","8"
"445","G10104","gut","CUB012","8"
"116","G10105","gut","CUB003","7"
"1318","G10107","gut","CUB053","5"
"751","G10108","gut","CUB029","7"
"986","G10111","gut","CUB040","5"
"1211","G10112","gut","CUB050","6"
"280","G10113","gut","CUB008","8"
"783","G10115","gut","CUB032","4"
"557","G10116","gut","CUB017","6"
"752","G10119","gut","CUB029","8"
"1212","G10123","gut","CUB050","7"
"233","G10125","gut","CUB007","4"
"486","G10127","gut","CUB015","7"
"822","G10129","gut","CUB033","8"
"1209","G10130","gut","CUB050","4"
"1027","G10131","gut","CUB042","6"
"114","G10132","gut","CUB003","5"
"1067","G10133","gut","CUB044","4"
"679","G10135","gut","CUB027","7"
"369","G10136","gut","CUB010","4"
"989","G10137","gut","CUB040","8"
"1123","G10138","gut","CUB048","8"
"676","G10139","gut","CUB027","4"
"677","G10140","gut","CUB027","5"
"1164","G10143","gut","CUB049","4"
"236","G10144","gut","CUB007","7"
"596","G10145","gut","CUB019","4"
"1276","G10146","gut","CUB052","3"
"1277","G10147","gut","CUB052","4"
"1120","G10148","gut","CUB048","5"
"1070","G10149","gut","CUB044","7"
"113","G10151","gut","CUB003","4"
"329","G10153","gut","CUB009","7"
"1359","G10155","gut","CUB056","5"
"643","G10157","gut","CUB026","4"
"645","G10158","gut","CUB026","7"
"559","G10161","gut","CUB017","8"
"373","G10162","gut","CUB010","8"
"556","G10163","gut","CUB017","5"
"71","G10164","gut","CUB000","6"
"1317","G10165","gut","CUB053","4"
"483","G10166","gut","CUB015","4"
"1320","G10168","gut","CUB053","7"
"327","G10169","gut","CUB009","5"
"1028","G10171","gut","CUB042","7"
"987","G10173","gut","CUB040","6"
"1360","G10174","gut","CUB056","6"
"786","G10175","gut","CUB032","8"
"868","G10176","gut","CUB036","6"
"1119","G10177","gut","CUB048","4"
"909","G10178","gut","CUB037","8"
"866","G10179","gut","CUB036","4"
"1025","G10180","gut","CUB042","4"
"947","G10181","gut","CUB038","8"
"70","G10182","gut","CUB000","5"
"277","G10184","gut","CUB008","5"
"946","G10185","gut","CUB038","7"
"443","G10187","gut","CUB012","6"
"72","G10188","gut","CUB000","7"
"157","G10189","gut","CUB004","8"
"237","G10190","gut","CUB007","8"
"985","G10191","gut","CUB040","4"
"1358","G10192","gut","CUB056","4"
"558","G10193","gut","CUB017","7"
"784","G10197","gut","CUB032","5"
"555","G10198","gut","CUB017","4"
"279","G10199","gut","CUB008","7"
"3543","G10309","gut","NCS253","1"
"3511","G10313","gut","NCS248","7"
"3507","G10325","gut","NCS248","1"
"3099","G10329","gut","NCS204","3"
"3104","G10330","gut","NCS204","9"
"3549","G10336","gut","NCS253","8"
"3064","G10338","gut","NCS203","6"
"3589","G10340","gut","NCS255","8"
"3102","G10351","gut","NCS204","7"
"3546","G10353","gut","NCS253","5"
"3513","G10356","gut","NCS248","9"
"3629","G10358","gut","NCS263","6"
"3182","G10359","gut","NCS212","6"
"3547","G10364","gut","NCS253","6"
"3101","G10373","gut","NCS204","6"
"3510","G10380","gut","NCS248","6"
"3584","G10386","gut","NCS255","2"
"3582","G10387","gut","NCS255","0"
"3062","G10389","gut","NCS203","3"
"3626","G10392","gut","NCS263","1"
"3583","G10396","gut","NCS255","1"
"3506","G10399","gut","NCS248","0"
"2142","G10400","gut","NAU130","9"
"2095","G10402","gut","NAU129","9"
"2859","G10406","gut","NAU157","8"
"2560","G10407","gut","NAU148","8"
"2613","G10413","gut","NAU149","8"
"2561","G10415","gut","NAU148","9"
"2006","G10431","gut","NAU123","9"
"2911","G10436","gut","NAU159","9"
"2185","G10442","gut","NAU132","9"
"1959","G10449","gut","NAU121","9"
"2663","G10460","gut","NAU150","8"
"2049","G10462","gut","NAU124","9"
"2664","G10468","gut","NAU150","9"
"2614","G10469","gut","NAU149","9"
"1805","G10471","gut","NAU114","9"
"2293","G10473","gut","NAU136","9"
"2709","G10482","gut","NAU153","9"
"2786","G10483","gut","NAU155","8"
"1612","G10485","gut","NAU106","9"
"1651","G10489","gut","NAU107","9"
"2787","G10490","gut","NAU155","9"
"2225","G10495","gut","NAU133","9"
"2224","G10499","gut","NAU133","8"
"409","G10531","gut","CUB011","8"
"487","G10538","gut","CUB015","8"
"1029","G10542","gut","CUB042","8"
"1321","G10575","gut","CUB053","8"
"1213","G10590","gut","CUB050","8"
"2557","G10600","gut","NAU148","4"
"2138","G10601","gut","NAU130","4"
"2371","G10602","gut","NAU139","4"
"1800","G10603","gut","NAU114","3"
"1916","G10604","gut","NAU119","5"
"1801","G10605","gut","NAU114","4"
"2330","G10606","gut","NAU137","5"
"2558","G10608","gut","NAU148","5"
"2948","G10609","gut","NAU160","4"
"2221","G10610","gut","NAU133","4"
"2707","G10611","gut","NAU153","5"
"1609","G10612","gut","NAU106","5"
"1955","G10613","gut","NAU121","4"
"2856","G10614","gut","NAU157","4"
"2137","G10615","gut","NAU130","3"
"1578","G10616","gut","NAU105","6"
"3028","G10617","gut","NAU164","4"
"2745","G10619","gut","NAU154","6"
"1956","G10621","gut","NAU121","5"
"1881","G10624","gut","NAU117","7"
"2184","G10625","gut","NAU132","8"
"2329","G10628","gut","NAU137","4"
