"","parent","child","edgelength"
"1","k__Bacteria","p__Actinobacteria",1
"2","k__Bacteria","p__Bacteroidetes",1
"3","k__Bacteria","p__Cyanobacteria",1
"4","k__Bacteria","p__Firmicutes",1
"5","k__Bacteria","p__Fusobacteria",1
"6","k__Bacteria","p__OD1",1
"7","k__Bacteria","p__Proteobacteria",1
"8","k__Bacteria","p__Spirochaetes",1
"9","k__Bacteria","p__SR1",1
"10","k__Bacteria","p__TM7",1
"11","p__Actinobacteria","c__Actinobacteria",1
"12","p__Proteobacteria","c__Alphaproteobacteria",1
"13","p__Firmicutes","c__Bacilli",1
"14","p__Bacteroidetes","c__Bacteroidia",1
"15","p__Proteobacteria","c__Betaproteobacteria",1
"16","p__Cyanobacteria","c__Chloroplast",1
"17","p__Firmicutes","c__Clostridia",1
"18","p__Actinobacteria","c__Coriobacteriia",1
"19","p__Bacteroidetes","c__Cytophagia",1
"20","p__Proteobacteria","c__Deltaproteobacteria",1
"21","p__Proteobacteria","c__Epsilonproteobacteria",1
"22","p__Firmicutes","c__Erysipelotrichi",1
"23","p__Bacteroidetes","c__Flavobacteriia",1
"24","p__Fusobacteria","c__Fusobacteriia",1
"25","p__Proteobacteria","c__Gammaproteobacteria",1
"26","p__Bacteroidetes","c__Sphingobacteriia",1
"27","p__Spirochaetes","c__Spirochaetes",1
"28","p__TM7","c__TM7-3",1
"29","c__Actinobacteria","o__Actinomycetales",1
"30","c__Gammaproteobacteria","o__Aeromonadales",1
"31","c__Bacilli","o__Bacillales",1
"32","c__Bacteroidia","o__Bacteroidales",1
"33","c__Betaproteobacteria","o__Burkholderiales",1
"34","c__Epsilonproteobacteria","o__Campylobacterales",1
"35","c__Clostridia","o__Clostridiales",1
"36","c__Coriobacteriia","o__Coriobacteriales",1
"37","c__TM7-3","o__CW040",1
"38","c__Cytophagia","o__Cytophagales",1
"39","c__Gammaproteobacteria","o__Enterobacteriales",1
"40","c__Erysipelotrichi","o__Erysipelotrichales",1
"41","c__Flavobacteriia","o__Flavobacteriales",1
"42","c__Fusobacteriia","o__Fusobacteriales",1
"43","c__Bacilli","o__Gemellales",1
"44","c__Bacilli","o__Lactobacillales",1
"45","c__Betaproteobacteria","o__Neisseriales",1
"46","c__Gammaproteobacteria","o__Pasteurellales",1
"47","c__Gammaproteobacteria","o__Pseudomonadales",1
"48","c__Alphaproteobacteria","o__Rhizobiales",1
"49","c__Alphaproteobacteria","o__Rhodobacterales",1
"50","c__Betaproteobacteria","o__Rhodocyclales",1
"51","c__Sphingobacteriia","o__Sphingobacteriales",1
"52","c__Alphaproteobacteria","o__Sphingomonadales",1
"53","c__Spirochaetes","o__Spirochaetales",1
"54","c__Chloroplast","o__Streptophyta",1
"55","c__Gammaproteobacteria","o__Xanthomonadales",1
"56","o__Clostridiales","f__[Mogibacteriaceae]",1
"57","o__Bacteroidales","f__[Paraprevotellaceae]",1
"58","o__Clostridiales","f__[Tissierellaceae]",1
"59","o__Flavobacteriales","f__[Weeksellaceae]",1
"60","o__Actinomycetales","f__ACK-M1",1
"61","o__Actinomycetales","f__Actinomycetaceae",1
"62","o__Lactobacillales","f__Aerococcaceae",1
"63","o__Aeromonadales","f__Aeromonadaceae",1
"64","o__Burkholderiales","f__Alcaligenaceae",1
"65","o__Bacteroidales","f__Bacteroidaceae",1
"66","o__Burkholderiales","f__Burkholderiaceae",1
"67","o__Campylobacterales","f__Campylobacteraceae",1
"68","o__Lactobacillales","f__Carnobacteriaceae",1
"69","o__Clostridiales","f__Clostridiaceae",1
"70","o__Burkholderiales","f__Comamonadaceae",1
"71","o__Coriobacteriales","f__Coriobacteriaceae",1
"72","o__Actinomycetales","f__Corynebacteriaceae",1
"73","o__Flavobacteriales","f__Cryomorphaceae",1
"74","o__Cytophagales","f__Cytophagaceae",1
"75","o__Enterobacteriales","f__Enterobacteriaceae",1
"76","o__Lactobacillales","f__Enterococcaceae",1
"77","o__Erysipelotrichales","f__Erysipelotrichaceae",1
"78","o__CW040","f__F16",1
"79","o__Flavobacteriales","f__Flavobacteriaceae",1
"80","o__Fusobacteriales","f__Fusobacteriaceae",1
"81","o__Gemellales","f__Gemellaceae",1
"82","o__Clostridiales","f__Lachnospiraceae",1
"83","o__Lactobacillales","f__Lactobacillaceae",1
"84","o__Fusobacteriales","f__Leptotrichiaceae",1
"85","o__Lactobacillales","f__Leuconostocaceae",1
"86","o__Actinomycetales","f__Microbacteriaceae",1
"87","o__Actinomycetales","f__Micrococcaceae",1
"88","o__Pseudomonadales","f__Moraxellaceae",1
"89","o__Neisseriales","f__Neisseriaceae",1
"90","o__Burkholderiales","f__Oxalobacteraceae",1
"91","o__Pasteurellales","f__Pasteurellaceae",1
"92","o__Clostridiales","f__Peptostreptococcaceae",1
"93","o__Bacteroidales","f__Porphyromonadaceae",1
"94","o__Bacteroidales","f__Prevotellaceae",1
"95","o__Actinomycetales","f__Propionibacteriaceae",1
"96","o__Pseudomonadales","f__Pseudomonadaceae",1
"97","o__Rhizobiales","f__Rhizobiaceae",1
