"parent","child"
"k__Bacteria","p__Firmicutes"
"k__Bacteria","p__Actinobacteria"
"k__Bacteria","p__Proteobacteria"
"k__Bacteria","p__Bacteroidetes"
"k__Bacteria","p__Lentisphaerae"
"k__Bacteria","p__Tenericutes"
"k__Bacteria","p__Fusobacteria"
"k__Bacteria","p__Synergistetes"
"k__Bacteria","p__Verrucomicrobia"
"k__Bacteria","p__Spirochaetes"
"k__Bacteria","p__Gemmatimonadetes"
"k__Bacteria","p__Acidobacteria"
"k__Bacteria","p__Cyanobacteria"
"k__Bacteria","p__Chlorobi"
"k__Bacteria","p__Thermi"
"k__Bacteria","p__TM7"
"k__Bacteria","p__Chloroflexi"
"k__Bacteria","p__Armatimonadetes"
"k__Bacteria","p__SR1"
"k__Bacteria","p__Elusimicrobia"
"k__Bacteria","p__Planctomycetes"
"k__Bacteria","p__Thermotogae"
"k__Bacteria","p__WPS-2"
"k__Bacteria","p__Chlamydiae"
"k__Bacteria","p__Aquificae"
"p__Acidobacteria","c__Chloracidobacteria"
"p__Acidobacteria","c__Acidobacteria"
"p__Acidobacteria","c__Acidobacteria-6"
"p__Acidobacteria","c__Solibacteres"
"p__Acidobacteria","c__Sva0725"
"p__Acidobacteria","c__Holophagae"
"p__Acidobacteria","c__Acidobacteria-5"
"p__Actinobacteria","c__Actinobacteria"
"p__Actinobacteria","c__Thermoleophilia"
"p__Actinobacteria","c__Nitriliruptoria"
"p__Actinobacteria","c__Acidimicrobiia"
"p__Actinobacteria","c__Rubrobacteria"
"p__Aquificae","c__Aquificae"
"p__Armatimonadetes","c__Fimbriimonadetes"
"p__Armatimonadetes","c__Armatimonadia"
"p__Armatimonadetes","c__Chthonomonadetes"
"p__Bacteroidetes","c__Bacteroidia"
"p__Bacteroidetes","c__Sphingobacteriia"
"p__Bacteroidetes","c__Flavobacteriia"
"p__Bacteroidetes","c__VC2_1_Bac22"
"p__Chlamydiae","c__Chlamydiia"
"p__Chlorobi","c__OPB56"
"p__Chlorobi","c__SJA-28"
"p__Chlorobi","c__Ignavibacteria"
"p__Chloroflexi","c__Thermomicrobia"
"p__Chloroflexi","c__Anaerolineae"
"p__Cyanobacteria","c__Chloroplast"
"p__Cyanobacteria","c__4C0d-2"
"p__Cyanobacteria","c__Synechococcophycideae"
"p__Cyanobacteria","c__Oscillatoriophycideae"
"p__Cyanobacteria","c__S15B-MN24"
"p__Elusimicrobia","c__Elusimicrobia"
"p__Firmicutes","c__Clostridia"
"p__Firmicutes","c__Bacilli"
"p__Firmicutes","c__Erysipelotrichi"
"p__Firmicutes","c__RF3"
"p__Firmicutes","c__CK-1C4-19"
"p__Fusobacteria","c__Fusobacteria"
"p__Gemmatimonadetes","c__Gemmatimonadetes"
"p__Gemmatimonadetes","c__Gemm-3"
"p__Gemmatimonadetes","c__Gemm-5"
"p__Lentisphaerae","c__Lentisphaeria"
"p__Planctomycetes","c__Planctomycetia"
"p__Planctomycetes","c__Phycisphaerae"
"p__Proteobacteria","c__Gammaproteobacteria"
"p__Proteobacteria","c__Alphaproteobacteria"
"p__Proteobacteria","c__Betaproteobacteria"
"p__Proteobacteria","c__Deltaproteobacteria"
"p__Proteobacteria","c__Epsilonproteobacteria"
"p__Spirochaetes","c__Brachyspirae"
"p__Spirochaetes","c__Spirochaetes"
"p__Synergistetes","c__Synergistia"
"p__Tenericutes","c__Mollicutes"
"p__Thermi","c__Deinococci"
"p__Thermotogae","c__Thermotogae"
"p__TM7","c__TM7-3"
"p__Verrucomicrobia","c__Verruco-5"
"p__Verrucomicrobia","c__Opitutae"
"p__Verrucomicrobia","c__Spartobacteria"
"p__Verrucomicrobia","c__Pedosphaerae"
"p__Verrucomicrobia","c__Verrucomicrobiae"
"c__4C0d-2","o__YS2"
"c__Acidimicrobiia","o__Acidimicrobiales"
"c__Acidobacteria","o__Acidobacteriales"
"c__Acidobacteria-6","o__iii1-15"
"c__Actinobacteria","o__Actinomycetales"
"c__Actinobacteria","o__Bifidobacteriales"
"c__Alphaproteobacteria","o__Rhizobiales"
"c__Alphaproteobacteria","o__Rhodospirillales"
"c__Alphaproteobacteria","o__Sphingomonadales"
"c__Alphaproteobacteria","o__Rhodobacterales"
"c__Alphaproteobacteria","o__Caulobacterales"
"c__Alphaproteobacteria","o__Ellin329"
"c__Alphaproteobacteria","o__Rickettsiales"
"c__Alphaproteobacteria","o__RF32"
"c__Alphaproteobacteria","o__BD7-3"
"c__Anaerolineae","o__Anaerolineales"
"c__Aquificae","o__Aquificales"
"c__Armatimonadia","o__Armatimonadales"
"c__Bacilli","o__Lactobacillales"
"c__Bacilli","o__Bacillales"
"c__Bacilli","o__Gemellales"
"c__Bacilli","o__Turicibacterales"
"c__Bacilli","o__Exiguobacterales"
